subject,topic_id,baseline_year,year,years_elapsed,cosine_sim_to_baseline,drift_from_baseline
cs,0,2000,2000,0,0.651322,0.348678
cs,0,2000,2001,1,0.312677,0.687323
cs,0,2000,2002,2,0.266252,0.733748
cs,0,2000,2003,3,0.162456,0.837544
cs,0,2000,2004,4,0.302836,0.697164
cs,0,2000,2005,5,0.261519,0.738481
cs,0,2000,2006,6,0.322126,0.677874
cs,0,2000,2007,7,0.198371,0.801629
cs,0,2000,2008,8,0.022228,0.977772
cs,0,2000,2009,9,0.045191,0.954809
cs,0,2000,2010,10,0.022228,0.977772
cs,0,2000,2011,11,0.030885,0.969115
cs,0,2000,2012,12,0.034759,0.965241
cs,0,2000,2013,13,0.008657,0.991343
cs,0,2000,2014,14,0.0,1.0
cs,0,2000,2015,15,0.032069,0.967931
cs,0,2000,2016,16,0.0,1.0
cs,0,2000,2017,17,0.0,1.0
cs,0,2000,2018,18,0.0,1.0
cs,0,2000,2019,19,0.0,1.0
cs,0,2000,2020,20,0.008657,0.991343
cs,0,2000,2021,21,0.003874,0.996126
cs,0,2000,2022,22,0.003874,0.996126
cs,0,2000,2023,23,0.0,1.0
cs,0,2000,2024,24,0.0,1.0
cs,0,2000,2025,25,0.0,1.0
cs,1,2000,2000,0,0.651322,0.348678
cs,1,2000,2001,1,0.292213,0.707787
cs,1,2000,2002,2,0.25866,0.74134
cs,1,2000,2003,3,0.230902,0.769098
cs,1,2000,2004,4,0.195244,0.804756
cs,1,2000,2005,5,0.239559,0.760441
cs,1,2000,2006,6,0.228105,0.771895
cs,1,2000,2007,7,0.094301,0.905699
cs,1,2000,2008,8,0.085644,0.914356
cs,1,2000,2009,9,0.108608,0.891392
cs,1,2000,2010,10,0.0,1.0
cs,1,2000,2011,11,0.244074,0.755926
cs,1,2000,2012,12,0.008657,0.991343
cs,1,2000,2013,13,0.008657,0.991343
cs,1,2000,2014,14,0.0,1.0
cs,1,2000,2015,15,0.003874,0.996126
cs,1,2000,2016,16,0.003874,0.996126
cs,1,2000,2017,17,0.003874,0.996126
cs,1,2000,2018,18,0.003874,0.996126
cs,1,2000,2019,19,0.003874,0.996126
cs,1,2000,2020,20,0.003874,0.996126
cs,1,2000,2021,21,0.008657,0.991343
cs,1,2000,2022,22,0.008657,0.991343
cs,1,2000,2023,23,0.017314,0.982686
cs,1,2000,2024,24,0.008657,0.991343
cs,1,2000,2025,25,0.003874,0.996126
cs,2,2000,2000,0,0.651322,0.348678
cs,2,2000,2001,1,0.233773,0.766227
cs,2,2000,2002,2,0.402196,0.597804
cs,2,2000,2003,3,0.172747,0.827253
cs,2,2000,2004,4,0.18987,0.81013
cs,2,2000,2005,5,0.137088,0.862912
cs,2,2000,2006,6,0.12876,0.87124
cs,2,2000,2007,7,0.121268,0.878732
cs,2,2000,2008,8,0.058172,0.941828
cs,2,2000,2009,9,0.04833,0.95167
cs,2,2000,2010,10,0.053849,0.946151
cs,2,2000,2011,11,0.036864,0.963136
cs,2,2000,2012,12,0.014636,0.985364
cs,2,2000,2013,13,0.014636,0.985364
cs,2,2000,2014,14,0.0,1.0
cs,2,2000,2015,15,0.003874,0.996126
cs,2,2000,2016,16,0.0,1.0
cs,2,2000,2017,17,0.0,1.0
cs,2,2000,2018,18,0.0,1.0
cs,2,2000,2019,19,0.0,1.0
cs,2,2000,2020,20,0.014636,0.985364
cs,2,2000,2021,21,0.008657,0.991343
cs,2,2000,2022,22,0.008657,0.991343
cs,2,2000,2023,23,0.014636,0.985364
cs,2,2000,2024,24,0.022228,0.977772
cs,2,2000,2025,25,0.032069,0.967931
cs,3,2000,2000,0,0.651322,0.348678
cs,3,2000,2001,1,0.143356,0.856644
cs,3,2000,2002,2,0.294829,0.705171
cs,3,2000,2003,3,0.298546,0.701454
cs,3,2000,2004,4,0.154555,0.845445
cs,3,2000,2005,5,0.212004,0.787996
cs,3,2000,2006,6,0.138746,0.861254
cs,3,2000,2007,7,0.105052,0.894948
cs,3,2000,2008,8,0.112644,0.887356
cs,3,2000,2009,9,0.044456,0.955544
cs,3,2000,2010,10,0.144074,0.855926
cs,3,2000,2011,11,0.0,1.0
cs,3,2000,2012,12,0.008657,0.991343
cs,3,2000,2013,13,0.003874,0.996126
cs,3,2000,2014,14,0.0,1.0
cs,3,2000,2015,15,0.017314,0.982686
cs,3,2000,2016,16,0.008657,0.991343
